ID,LakeName,ResidentialCount_2004,ResidentialCount_2005,ResidentialCount_2006,ResidentialCount_2007,ResidentialCount_2008,ResidentialCount_2009,ResidentialCount_2010,ResidentialCount_2011,ResidentialCount_2012,ResidentialCount_2013,ResidentialCount_2014,ResidentialCount_2015,AgriculturalCount_2005,AgriculturalCount_2006,AgriculturalCount_2007,AgriculturalCount_2008,AgriculturalCount_2009,AgriculturalCount_2010,AgriculturalCount_2011,AgriculturalCount_2012,AgriculturalCount_2013,AgriculturalCount_2014,AgriculturalCount_2015,CommercialCount_2005,CommercialCount_2006,CommercialCount_2007,CommercialCount_2008,CommercialCount_2009,CommercialCount_2010,CommercialCount_2011,CommercialCount_2012,CommercialCount_2013,CommercialCount_2014,CommercialCount_2015,IndustrialCount_2005,IndustrialCount_2006,IndustrialCount_2007,IndustrialCount_2008,IndustrialCount_2009,IndustrialCount_2010,IndustrialCount_2011,IndustrialCount_2012,IndustrialCount_2013,IndustrialCount_2014,IndustrialCount_2015,PublicCount_2005,PublicCount_2006,PublicCount_2007,PublicCount_2008,PublicCount_2009,PublicCount_2010,PublicCount_2011,PublicCount_2012,PublicCount_2013,PublicCount_2014,PublicCount_2015
1,Acorn Lake,,0.000643708,-1.71884058,-0.047619048,-0.027363184,0.0116663,0.312917595,-0.001296596,0.011654257,-0.00049132,0.191357014,0.001214575,0,0,0,0,0,-1.363636364,0,0.153846154,0,-0.454545455,0,0,0,0,0,0,0,-0.06875,-0.730994152,-0.033783784,0.009803922,0.04620462,0,0,0,-0.038461538,0,0.296296296,0,-4.157894737,-0.040816327,-0.029411765,0.066666667,0.021276596,-2.201086957,-0.015280136,0.329431438,-0.428927681,0.033158813,-0.014440433,-0.236654804,0.002877698,0.007215007,0.036337209
2,Alice Lake,,0,0,0.016693164,0.10105093,-0.083633094,0.463070539,-0.040185471,0.09063893,0.004901961,-0.004926108,0.057189542,0,0,0,0,0.071428571,-0.923076923,-0.36,0.647058824,0,0.25,-0.222222222,0,0,0,0,0,0,-0.75,0.464285714,0,-0.066666667,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-0.017699115,0.495652174,-1,-0.094827586,-0.251968504,0.220125786,0,0.036290323,0.163179916
3,Alimagnet Lake,,-0.004209721,-0.001905488,-0.000380373,0.00095057,-0.00038059,0.000380445,0.00038059,0.000380735,0.003618358,0,0.000382263,0,0,0,0,0,0,0,0,0,0,0,-0.035294118,-0.011363636,0,0,0,0,0.04494382,0.047058824,-0.024691358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Anderson Pond,,-0.020041754,-0.001637331,-0.000817327,0.00285831,0,-0.001638002,0.000817661,0,0.000818331,0.000819001,0.001639344,0,0,0,0,0,0,0,0,0,0,0,-0.03539823,0.017094017,0,0,0.017391304,0,0,0,0.053097345,-0.018691589,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ann Lake,,-0.002475248,0.008641975,0,0,-0.003113325,0.344506518,0.00094697,0.000947867,-0.010436433,0.010328638,-0.018975332,0.285714286,0.2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026666667,0.012987013,-0.026315789,-0.076923077,0,0.238095238,-0.03125,-0.015151515,0.014925373,-0.03030303,-0.029411765
6,Ardmore Lake,,0,0.015320334,0.004243281,0.008522727,-0.010028653,0.008510638,0.001430615,0.00286533,0.307471264,-0.010373444,0.008213552,0,0.071428571,-0.230769231,0.15625,-0.185185185,0.09375,0.034482759,-0.071428571,-0.1,0,0,0,0.014285714,-0.014492754,0.014285714,-0.014492754,0.057142857,-0.03030303,0,0.044117647,0,-0.030769231,0,0.25,0,-0.333333333,0,0,0,0,-0.25,0,0,0,0.133333333,0,-0.230769231,0,0,0,0,-0.125,0,0
7,Armstrong Lake,,0,0,0.006819182,-0.047397564,0.032353563,0.487325175,0.000852515,0.005546075,-0.000858001,0.000857265,-0.001287001,0,0,0.090909091,-0.05,0.047619048,-0.2,0,0.166666667,-0.3,0,0.461538462,0,0,0,0,0,-49,0.01,-0.656565657,0.021341463,-0.003115265,-0.026397516,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.040816327,0.488017429,-0.995744681,-0.249466951,-0.023890785,0.006666667,-0.008389262,-0.006655574,0.026446281
8,Assumption Lake,,0.322899506,0.907542579,0,0.052631579,0,-12.83333333,-0.136546185,-0.086572438,-0.328455285,0.285189718,0.01369863,0.28271028,0.768729642,0.018779343,-0.028708134,-0.013953488,-2.642201835,-0.133501259,-0.01,-0.01980198,0.050701187,-0.020454545,0,1,0,0,0,0,-29,0.15,0.333333333,-0.411764706,-0.25,0.333333333,1,0,0,0,0,-1.8,0.071428571,0.461538462,-1,-0.142857143,0.267175573,0.96875,0,0,0,-50.66666667,-0.141935484,0.02259887,0.005780347,0,-0.11627907
9,Auburn Lake,,0,-0.018348624,0.009009009,0,-0.018181818,0.455357143,0,-0.016393443,-0.306451613,0.074074074,0,0,0,0.071428571,-0.153846154,0,-0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0
10,Aue Lake,,-0.066666667,-0.026785714,-0.026086957,0,0.025423729,0.417391304,0.014925373,0.045454545,-0.158730159,0.054794521,0,0.053097345,0.028037383,-0.019230769,-0.028301887,0.009174312,-0.064814815,-0.008695652,0.00862069,-0.026086957,-0.016949153,0.008333333,0,0,0,0,0,0,0.25,-0.5,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.5,0,0,-0.666666667,0,0
