ID,LakeName,ResidentialCount_2004,ResidentialCount_2005,ResidentialCount_2006,ResidentialCount_2007,ResidentialCount_2008,ResidentialCount_2009,ResidentialCount_2010,ResidentialCount_2011,ResidentialCount_2012,ResidentialCount_2013,ResidentialCount_2014,ResidentialCount_2015,AgriculturalCount_2004,AgriculturalCount_2005,AgriculturalCount_2006,AgriculturalCount_2007,AgriculturalCount_2008,AgriculturalCount_2009,AgriculturalCount_2010,AgriculturalCount_2011,AgriculturalCount_2012,AgriculturalCount_2013,AgriculturalCount_2014,AgriculturalCount_2015,CommercialCount_2004,CommercialCount_2005,CommercialCount_2006,CommercialCount_2007,CommercialCount_2008,CommercialCount_2009,CommercialCount_2010,CommercialCount_2011,CommercialCount_2012,CommercialCount_2013,CommercialCount_2014,CommercialCount_2015,IndustrialCount_2004,IndustrialCount_2005,IndustrialCount_2006,IndustrialCount_2007,IndustrialCount_2008,IndustrialCount_2009,IndustrialCount_2010,IndustrialCount_2011,IndustrialCount_2012,IndustrialCount_2013,IndustrialCount_2014,IndustrialCount_2015,PublicCount_2004,PublicCount_2005,PublicCount_2006,PublicCount_2007,PublicCount_2008,PublicCount_2009,PublicCount_2010,PublicCount_2011,PublicCount_2012,PublicCount_2013,PublicCount_2014,PublicCount_2015
1,Acorn Lake,0.341954656,0.341734537,0.929121726,0.973365617,1,0.9883337,0.679066696,0.679947171,0.672022892,0.672353071,0.543693595,0.543033238,0,0,0.34375,0.34375,0.34375,0.34375,0.8125,0.8125,0.6875,0.6875,1,1,0,0,0,0,0,0,0.522875817,0.558823529,0.967320261,1,0.990196078,0.944444444,0.247619048,0.247619048,0.247619048,0.247619048,0.257142857,0.257142857,0.180952381,0.180952381,0.933333333,0.971428571,1,0.933333333,0.270503597,0.264748201,0.847482014,0.860431655,0.576978417,0.824460432,0.797122302,0.808633094,1,0.997122302,0.989928058,0.953956835
2,Alice Lake,0,0,1,0.983306836,0.883942766,0.957869634,0.514308426,0.534976153,0.486486486,0.484101749,0.486486486,0.458664547,0,0,0.411764706,0.411764706,0.411764706,0.382352941,0.735294118,1,0.352941176,0.352941176,0.264705882,0.323529412,0,0,0,0,0,0,0.571428571,1,0.535714286,0.535714286,0.571428571,0.571428571,0,0,0,0,0,0,0,0,0.5,0.5,1,1,0,0,0.710691824,0.72327044,0.364779874,0.729559748,0.798742138,1,0.779874214,0.779874214,0.751572327,0.628930818
3,Alimagnet Lake,0.993536122,0.997718631,0.999619772,1,0.99904943,0.999429658,0.99904943,0.998669202,0.998288973,0.994676806,0.994676806,0.994296578,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.95505618,0.988764045,1,1,1,1,1,0.95505618,0.91011236,0.93258427,0.93258427,0.93258427,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1
4,Anderson Pond,0.977950184,0.99755002,0.99918334,1,0.99714169,0.99714169,0.99877501,0.99795835,0.99795835,0.99714169,0.996325031,0.994691711,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.965811966,1,0.982905983,0.982905983,0.982905983,0.965811966,0.965811966,0.965811966,0.965811966,0.914529915,0.931623932,0.931623932,1,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1,1,1,1,1,1,1
5,Ann Lake,0.997530864,1,0.991358025,0.991358025,0.991358025,0.994444444,0.651851852,0.651234568,0.650617284,0.657407407,0.650617284,0.662962963,1,0.714285714,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.285714286,0.285714286,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.892857143,0.916666667,0.904761905,0.928571429,1,1,0.761904762,0.785714286,0.797619048,0.785714286,0.80952381,0.833333333
6,Ardmore Lake,0,1,0.984679666,0.980501393,0.972144847,0.98189415,0.973537604,0.972144847,0.969359331,0.671309192,0.678272981,0.67270195,0,0.848484848,0.787878788,0.96969697,0.818181818,0.96969697,0.878787879,0.848484848,0.909090909,1,1,1,0,1,0.985714286,1,0.985714286,1,0.942857143,0.971428571,0.971428571,0.928571429,0.928571429,0.957142857,0,0.8,0.6,0.6,0.8,0.8,0.8,0.8,0.8,1,1,1,0,0.833333333,0.722222222,0.722222222,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,1,1,1
7,Armstrong Lake,0,0,0.961302601,0.954747304,1,0.967646437,0.496087968,0.495665045,0.49291605,0.493338972,0.49291605,0.493550433,0,0,0.846153846,0.769230769,0.807692308,0.769230769,0.923076923,0.923076923,0.769230769,1,1,0.538461538,0,0,0.012102874,0.012102874,0.012102874,0.012102874,0.605143722,0.599092284,0.992435703,0.971255673,0.974281392,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.72892562,0.758677686,0.388429752,0.775206612,0.968595041,0.991735537,0.985123967,0.99338843,1,0.973553719
8,Assumption Lake,0.742962056,0.503059976,0.046511628,0.046511628,0.044063647,0.044063647,0.609547124,0.692778458,0.752753978,1,0.714810282,0.70501836,1,0.71728972,0.16588785,0.162772586,0.167445483,0.169781931,0.618380062,0.700934579,0.707943925,0.721962617,0.685358255,0.699376947,0,0.133333333,0,0,0,0,0.033333333,1,0.85,0.566666667,0.8,1,0.375,0.25,0,0,0,0,0.3125,0.875,0.8125,0.4375,0.875,1,0.682291667,0.5,0.015625,0.015625,0.015625,0.015625,0.807291667,0.921875,0.901041667,0.895833333,0.895833333,1
9,Auburn Lake,0.973214286,0.973214286,0.991071429,0.982142857,0.982142857,1,0.544642857,0.544642857,0.553571429,0.723214286,0.669642857,0.669642857,0.875,0.875,0.875,0.8125,0.9375,0.9375,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.75,0,0,0,0,0.5,0.5
10,Aue Lake,0.889830508,0.949152542,0.974576271,1,1,0.974576271,0.56779661,0.559322034,0.533898305,0.618644068,0.584745763,0.584745763,0.941666667,0.891666667,0.866666667,0.883333333,0.908333333,0.9,0.958333333,0.966666667,0.958333333,0.983333333,1,0.991666667,0,0,0,0,0,0,0.888888889,0.666666667,1,1,0.777777778,0.777777778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2,0.2,0.2,0.2,0.2,0.4,0.6,0.6,0.6,1,1,1
