,,,,,1.973684211,2.25,2.181818182,2.038461538,2.333333333,2.115384615,2.176470588,1.95,1.823529412,2.32,1.545454545,1.96875,2.25,2.260869565,2.398148148,2.053672316,2.069264069,2.204819277,2.070281124,1.844660194,1.941091954,1.93697479,2.021577381,2.025745257,2.153225806,1.975524476,1.75502008,1.898773006,1.873420479,2.034482759,2.060135135,2.053357314,1.973360656,2.198879552,2.29775641
DNR_ID_SITE_NUMBER,LAKE_NAME,CITY,COUNTY,MAJOR_WATERSHED,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
02000600-01,Centerville Lake,Lino Lakes,Anoka,Mississippi River - Twin Cities,1,2,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02002600-01,Linwood Lake,Linwood Township,Anoka,Lower St. Croix River,3,2,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
02004200-01,Coon Lake,Columbus Township,Anoka,Lower St. Croix River,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02004500-01,Golden Lake,Circle Pines,Anoka,Mississippi River - Twin Cities,1,NA,NA,NA,NA,1,2,1,0,0,0,0,NA,1,NA,NA,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,NA,NA,NA,NA
02007200-01,Laddie Lake,Spring Lake Park,Anoka,Mississippi River - Twin Cities,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02007501-01,Moore Lake,Fridley,Anoka,Mississippi River - Twin Cities,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02009100-01,George Lake,Oak Grove,Anoka,Rum River,4,4,4,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
02013000-01,Pickerel Lake,Nowthen,Anoka,Rum River,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
10000200-02,Riley Lake,Chanhassen,Carver,Lower Minnesota River,2,2,2,2,2,2,2,2,NA,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10005300-01,Pierson Lake,Laketown Township,Carver,Mississippi River - Twin Cities,3,4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
10005900-01,Waconia Lake,Waconia Township,Carver,Lower Minnesota River,2,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,2,2,2,3,3,2,3,3,2,2,2,3,2,2,3,3,2
10012100-01,Eagle Lake,Camden Township,Carver,South Fork Crow River,1,1,NA,2,NA,0,2,2,NA,NA,NA,2,NA,3,NA,NA,2,3,2,1,2,1,1,1,1,2.5,0,0,0,1.5,1,0,1,1,0
19002000-01,Chub Lake,Eureka Township,Dakota,Cannon River,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
19002601-01,Marion Lake,Lakeville,Dakota,Mississippi River - Lake Pepin,2,1,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,4
19002700-01,Crystal Lake,Burnsville,Dakota,Lower Minnesota River,2,NA,NA,3,NA,NA,1,1,0,3,NA,NA,1,NA,1.5,2,2,2,2,2,2,2,2,2,2,1.5,2,2,2,3,1.5,3,2,3,3
19003100-01,Orchard Lake,Lakeville,Dakota,Lower Minnesota River,2,3,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,2,2,2,3,NA,2,3,3,3,2,4,4,4,3,3,4,4
19005700-01,Fish Lake,Eagan,Dakota,Lower Minnesota River,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27007800-01,Staring Lake,Eden Prairie,Hennepin,Lower Minnesota River,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
27010700-01,Parkers Lake,Plymouth,Hennepin,Mississippi River - Twin Cities,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,4,NA,4,3,3,3,3,3,3,3,4,NA,3,NA,NA
27012500-01,Diamond Lake,Dayton,Hennepin,Mississippi River - Twin Cities,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27013700-01,Christmas Lake,Shorewood,Hennepin,Mississippi River - Twin Cities,4,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27017600-01,Independence Lake,Medina,Hennepin,South Fork Crow River,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27017901-01,Little Long Lake,Minnetrista,Hennepin,South Fork Crow River,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,4,NA,NA,3,4,NA,4,4,NA,4,NA,NA
27018401-01,Whaletail Lake,Minnetrista,Hennepin,South Fork Crow River,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
62000200-01,Bald Eagle Lake,White Bear Township,Ramsey,Mississippi River - Twin Cities,1,2,NA,2,2,NA,2,NA,2,2,2,2,2,3,2,2,2,2,2,2,2,1,NA,NA,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
70002600-01,Lower Prior Lake,Prior Lake,Scott,Lower Minnesota River,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,4,2.5,3,3,2.5,2.5,3,3,4,3,3,3,4,3,4,4,4,3
70005000-01,McMahon Lake,Spring Lake Township,Scott,Lower Minnesota River,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,2,1,2,2,2,2,2,2
